correlation,constant_P_m,correlationship
-0.709203845208469,0.2,richness-prevalence
-0.69041287363925,0.2,richness-prevalence
-0.853421022419334,0.2,richness-prevalence
-0.701397306311655,0.2,richness-prevalence
-0.896848603402128,0.2,richness-prevalence
-0.929506821370144,0.2,richness-prevalence
-0.692522593029833,0.2,richness-prevalence
-0.897206796538905,0.2,richness-prevalence
-0.807242866102224,0.2,richness-prevalence
-0.899858083191892,0.2,richness-prevalence
-0.551239520889714,0.2,richness-prevalence
-0.768679019007387,0.2,richness-prevalence
-0.622421625922464,0.2,richness-prevalence
-0.857361078054259,0.2,richness-prevalence
-0.620566127659116,0.2,richness-prevalence
-0.935042351252345,0.2,richness-prevalence
-0.873973146776154,0.2,richness-prevalence
-0.79275247670909,0.2,richness-prevalence
-0.945815319720534,0.2,richness-prevalence
-0.752567698225938,0.2,richness-prevalence
-0.711893530945182,0.2,richness-prevalence
-0.687277078443025,0.2,richness-prevalence
-0.819550187013392,0.2,richness-prevalence
-0.869417153170175,0.2,richness-prevalence
-0.898794132279193,0.2,richness-prevalence
-0.741415129729065,0.2,richness-prevalence
-0.720692158557361,0.2,richness-prevalence
-0.884494668391163,0.2,richness-prevalence
-0.702293387456108,0.2,richness-prevalence
-0.683044583594376,0.2,richness-prevalence
-0.51651800519707,0.2,richness-prevalence
-0.787487512093495,0.2,richness-prevalence
-0.87674763262401,0.2,richness-prevalence
-0.888213226430857,0.2,richness-prevalence
-0.87312627133343,0.2,richness-prevalence
-0.807168407304633,0.2,richness-prevalence
-0.77977189223855,0.2,richness-prevalence
-0.6520438301065,0.2,richness-prevalence
-0.781008026147795,0.2,richness-prevalence
-0.722241962173922,0.2,richness-prevalence
-0.847621511348908,0.2,richness-prevalence
-0.777083444212077,0.2,richness-prevalence
-0.803183677495099,0.2,richness-prevalence
-0.790709725407577,0.2,richness-prevalence
-0.859190407255536,0.2,richness-prevalence
-0.822014322859393,0.2,richness-prevalence
-0.947570170001241,0.2,richness-prevalence
-0.880808740006189,0.2,richness-prevalence
-0.77486359097901,0.2,richness-prevalence
-0.35239382317085,0.2,richness-prevalence
-0.612252208784249,0.2,richness-prevalence
-0.768334725141607,0.2,richness-prevalence
-0.767094586330076,0.2,richness-prevalence
-0.914553895943827,0.2,richness-prevalence
-0.811824827919605,0.2,richness-prevalence
-0.875160162102681,0.2,richness-prevalence
-0.882117036152011,0.2,richness-prevalence
-0.918255872010855,0.2,richness-prevalence
-0.808224509452996,0.2,richness-prevalence
-0.792014092275048,0.2,richness-prevalence
-0.970700654429918,0.2,richness-prevalence
-0.900793217516856,0.2,richness-prevalence
-0.536527874550758,0.2,richness-prevalence
-0.76900736461184,0.2,richness-prevalence
-0.860016078977899,0.2,richness-prevalence
-0.887627442568006,0.2,richness-prevalence
-0.868103173945842,0.2,richness-prevalence
-0.92838895245034,0.2,richness-prevalence
-0.740911136122938,0.2,richness-prevalence
-0.703814631540536,0.2,richness-prevalence
-0.89374617843,0.2,richness-prevalence
-0.927259814401791,0.2,richness-prevalence
-0.965719259520824,0.2,richness-prevalence
-0.470562647583667,0.2,richness-prevalence
-0.94345404323344,0.2,richness-prevalence
-0.875557556278793,0.2,richness-prevalence
-0.746350967057655,0.2,richness-prevalence
-0.77518417834341,0.2,richness-prevalence
-0.68407964065172,0.2,richness-prevalence
-0.968585691138458,0.2,richness-prevalence
-0.805334399802908,0.2,richness-prevalence
-0.832641125927135,0.2,richness-prevalence
-0.777081795526314,0.2,richness-prevalence
-0.731130915684367,0.2,richness-prevalence
-0.398489652212353,0.2,richness-prevalence
-0.945484458677282,0.2,richness-prevalence
-0.477578927657654,0.2,richness-prevalence
-0.833185761684414,0.2,richness-prevalence
-0.825385374364729,0.2,richness-prevalence
-0.814991760698147,0.2,richness-prevalence
-0.705070310162657,0.2,richness-prevalence
-0.960599221154933,0.2,richness-prevalence
-0.855953290880947,0.2,richness-prevalence
-0.840198580565156,0.2,richness-prevalence
-0.857184565373913,0.2,richness-prevalence
-0.524007562217338,0.2,richness-prevalence
-0.47460933034304,0.2,richness-prevalence
-0.930262308518527,0.2,richness-prevalence
-0.709355781226122,0.2,richness-prevalence
-0.839445407537211,0.2,richness-prevalence
-0.850998625686293,0.2,richness-prevalence
